zipcode,type,subtype,price,number_of_rooms,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
9600,HOUSE,HOUSE,139000,2,130,1,0,0,0,,0,,50,2,0,GOOD
4030,HOUSE,HOUSE,245000,4,205,1,0,0,1,20,1,200,0,2,0,TO_BE_DONE_UP
2800,HOUSE,HOUSE,586670,4,203,1,0,0,1,14,1,235,351,,0,
1083,APARTMENT,APARTMENT,219000,2,75,0,0,0,1,10,0,,,4,0,GOOD
3550,HOUSE,OTHER_PROPERTY,1150000,3,300,0,0,1,1,,1,,50000,4,0,TO_RENOVATE
6001,HOUSE,APARTMENT_BLOCK,257000,5,115,1,0,0,0,,0,,228,4,0,AS_NEW
5580,HOUSE,HOUSE,299000,4,195,1,0,0,1,30,1,600,600,4,0,GOOD
9500,APARTMENT,SERVICE_FLAT,213000,1,74,1,0,0,1,7,0,,,4,0,AS_NEW
9120,APARTMENT,APARTMENT,222500,1,78,1,0,0,1,17,0,,,4,0,
9400,HOUSE,APARTMENT_BLOCK,660000,7,362,1,0,0,1,15,1,150,300,2,0,GOOD
1150,APARTMENT,PENTHOUSE,1435000,3,202,1,0,0,1,157,0,,,4,0,
5060,HOUSE,TOWN_HOUSE,175000,3,148,1,0,0,1,6,0,,59,2,0,AS_NEW
8380,HOUSE,HOUSE,235000,3,,1,0,0,0,,1,95,185,3,0,GOOD
3300,APARTMENT,APARTMENT,187000,2,79,1,0,0,0,,0,,,2,0,GOOD
1000,APARTMENT,APARTMENT,339000,2,78,1,0,0,0,,0,,,2,0,AS_NEW
2140,APARTMENT,APARTMENT,189000,1,78,1,0,0,0,,0,,,2,0,AS_NEW
3360,HOUSE,HOUSE,415000,4,191,1,0,0,1,57,0,,658,3,0,AS_NEW
8800,HOUSE,HOUSE,346000,3,150,1,0,0,0,,0,,0,2,0,GOOD
1310,HOUSE,HOUSE,480000,3,150,0,0,0,1,15,1,10,160,2,0,GOOD
1090,APARTMENT,APARTMENT,169000,2,83,1,0,0,1,7,0,,,,0,TO_BE_DONE_UP
1150,APARTMENT,PENTHOUSE,735000,3,190,1,0,0,1,20,0,,,2,0,AS_NEW
2830,HOUSE,VILLA,560000,3,660,1,0,0,1,60,1,1,2200,4,0,TO_RENOVATE
6250,HOUSE,VILLA,599000,3,350,1,0,0,1,25,0,,1300,4,0,AS_NEW
3300,APARTMENT,APARTMENT,225000,1,81,1,0,0,1,4,0,,,,0,AS_NEW
6660,HOUSE,HOUSE,425000,4,,1,0,0,1,,1,2312,2312,4,0,
2300,APARTMENT,APARTMENT,144900,1,45,0,0,0,1,10,0,,,2,0,
9230,APARTMENT,APARTMENT,249500,2,91,1,0,0,1,23,0,,,2,0,
4500,APARTMENT,APARTMENT,204000,2,87,0,0,0,1,5,0,,,2,0,
9600,HOUSE,HOUSE,165000,1,69,1,0,0,0,,1,42,111,2,0,GOOD
8400,APARTMENT,APARTMENT,239000,1,61,1,0,0,1,33,0,,,,0,
6230,HOUSE,HOUSE,269900,3,268,0,0,0,1,,1,264,334,3,0,
8820,HOUSE,HOUSE,230000,4,,0,0,0,0,,0,,401,3,0,TO_RENOVATE
1410,HOUSE,VILLA,585000,5,222,1,0,0,1,22,0,,924,4,0,AS_NEW
1000,APARTMENT,APARTMENT,585000,2,115,1,0,0,1,21,0,,,4,0,
1000,APARTMENT,APARTMENT,249000,2,55,1,1,0,0,,0,,,3,0,
9420,HOUSE,APARTMENT_BLOCK,1149000,3,,1,0,0,1,,0,,2040,4,0,AS_NEW
1160,HOUSE,HOUSE,540000,3,161,1,0,0,1,40,0,,0,2,0,
8500,APARTMENT,APARTMENT,1680000,6,370,0,0,0,1,,0,,,,0,
9340,HOUSE,HOUSE,265000,3,200,1,0,0,1,,0,,293,3,0,GOOD
1740,HOUSE,HOUSE,368800,3,168,1,0,0,0,,0,,238,3,0,AS_NEW
1030,APARTMENT,APARTMENT,380000,2,127,1,0,0,1,11,0,,,,0,GOOD
